Transaction_Amount,Transaction_Hour,Location_Change,Device_Mismatch,Transaction_Velocity,Account_Age_Days,AvgTransaction_Last30Days,Amount_To_Average_Ratio,User_Income_Estimate,Device_OS,Customer_Marital_Status,RESULT
192170,3,0,1,2,2772,43046,4.46,293181.0,0,1,0
71832,0,0,0,5,75,77725,0.92,178131.0,0,3,1
46020,7,0,0,2,2383,66477,0.69,50244.0,3,3,0
164360,13,0,0,3,2465,39678,4.14,257358.0,3,0,0
30083,8,0,0,5,2105,15236,1.97,85568.0,0,0,0
191886,1,1,0,3,684,15346,12.5,276440.5,1,3,0
56404,19,0,0,4,170,30920,1.82,235922.0,2,3,0
187901,1,1,1,10,72,89860,2.09,430322.0,3,3,1
41167,18,1,0,3,2316,89612,0.46,359046.0,2,0,0
33543,23,0,0,5,1865,16573,2.02,202481.0,3,3,0
86470,16,0,0,4,161,12386,6.98,319006.0,3,2,0
90108,4,0,1,8,66,73578,1.22,99966.0,0,0,1
235846,2,1,0,10,14,23261,10.14,470594.0,1,1,1
117674,6,0,0,2,347,32032,3.67,198430.0,1,3,0
62210,13,0,0,0,363,68763,0.9,276440.5,0,1,0
29105,16,0,0,3,965,12450,2.34,276440.5,1,3,0
50772,9,0,0,3,2986,87641,0.58,276440.5,0,0,0
15957,7,1,0,5,584,5947,2.68,443238.0,1,0,0
1628,2,0,0,0,1030,57882,0.03,276440.5,2,3,0
73034,14,0,0,0,1131,62797,1.16,196874.0,0,3,0
142739,20,0,0,0,2601,52910,2.7,443173.0,2,1,0
109867,10,0,0,1,1575,10349,10.62,437560.0,0,3,0
40463,6,0,0,3,2178,27787,1.46,457992.0,1,1,0
116113,23,0,0,1,1958,20797,5.58,317446.0,1,3,0
194744,11,0,0,3,2827,47103,4.13,276440.5,3,3,0
138771,4,1,0,10,48,91067,1.52,276440.5,0,2,1
66063,20,0,0,2,1514,80976,0.82,283208.0,3,3,0
180310,19,1,0,2,649,45725,3.94,357578.0,0,0,0
86251,16,0,0,5,2162,61063,1.41,276440.5,1,0,0
55740,8,0,0,2,2574,83513,0.67,310038.0,1,1,0
55149,10,0,0,2,2121,53166,1.04,276440.5,1,2,0
86879,16,0,0,3,2956,35755,2.43,170926.0,3,3,0
19916,8,0,0,0,843,10639,1.87,297795.0,1,3,0
454271,4,1,1,9,27,69274,6.56,276440.5,0,3,1
323010,1,1,0,8,51,94449,3.42,205759.0,1,2,1
410900,3,0,1,11,88,42116,9.76,404260.0,3,1,1
165799,22,1,0,1,2359,59348,2.79,263053.0,2,1,0
18378,5,0,0,4,715,59862,0.31,78004.0,2,3,0
20971,12,1,0,1,2370,14466,1.45,272129.0,0,3,0
57824,0,0,0,4,673,36514,1.58,420862.0,2,3,0
23150,2,0,0,2,854,8729,2.65,81351.0,0,0,0
63244,6,0,0,3,196,75290,0.84,276440.5,0,1,0
192908,8,0,0,4,985,59240,3.26,404548.0,2,0,0
219259,1,1,1,11,56,11858,18.49,255558.0,1,0,1
74974,16,0,0,0,1158,59592,1.26,310746.0,1,3,0
122681,19,0,0,0,1587,5395,22.74,233741.0,3,0,0
142417,9,0,0,0,756,87971,1.62,276440.5,2,2,0
170958,19,0,0,5,437,6263,27.29,456521.0,2,3,0
54317,14,0,0,0,2042,61132,0.89,437845.0,3,1,0
105994,19,0,0,2,1528,81421,1.3,319578.0,1,1,0
342172,3,0,1,11,36,9123,37.5,328747.0,1,3,1
378085,2,1,0,10,66,99524,3.8,410013.0,1,2,1
211064,1,0,0,9,12,6617,31.89,93016.0,2,2,1
493888,4,0,1,7,24,14953,33.03,76567.0,1,3,1
192095,20,0,0,5,138,62805,3.06,286109.0,0,1,0
336640,1,1,0,5,32,74070,4.54,411203.0,3,2,1
125064,17,0,0,5,2011,26330,4.75,189374.0,0,0,0
107788,17,1,0,5,1399,84781,1.27,56457.0,2,1,0
138321,8,0,0,0,699,36821,3.76,284841.0,2,2,0
156219,13,0,0,0,1492,75605,2.07,331767.0,2,3,0
44940,2,0,0,5,2559,93003,0.48,317014.0,3,0,0
19409,23,0,0,0,2215,74001,0.26,276440.5,3,1,0
230685,3,1,1,8,6,12038,19.16,318558.0,1,2,1
70006,10,0,0,4,1779,96250,0.73,70875.0,1,3,0
13557,16,1,0,5,2882,51612,0.26,410462.0,0,3,0
84835,20,1,1,4,2368,76540,1.11,276440.5,3,2,0
77448,7,1,0,2,258,22175,3.49,377831.0,2,3,0
397127,0,1,1,7,59,94328,4.21,380657.0,1,3,1
83262,17,0,0,1,129,60598,1.37,66040.0,1,0,0
119806,3,1,0,8,24,8811,13.6,81276.0,2,3,1
235217,3,0,1,7,6,17194,13.68,385206.0,1,3,1
195609,2,0,0,0,1151,52836,3.7,54595.0,1,2,0
96430,10,1,0,3,1853,56322,1.71,276440.5,2,3,0
468127,0,1,1,10,14,8447,55.41,234215.0,3,0,1
194478,6,0,0,4,2025,47213,4.12,157578.0,1,3,0
76371,5,1,0,2,1056,12066,6.33,60712.0,1,3,0
393671,0,0,0,8,87,17210,22.87,86972.0,2,0,1
34636,9,1,0,4,911,90404,0.38,456440.0,1,2,0
3552,8,0,0,4,2977,73774,0.05,355319.0,2,2,0
132137,2,0,0,0,2976,92329,1.43,276440.5,3,2,0
386433,0,0,1,7,81,90365,4.28,445419.0,3,0,1
52486,15,0,0,2,1632,70180,0.75,158534.0,0,1,0
166046,4,0,0,1,2819,44115,3.76,292217.0,1,3,0
154112,17,0,0,3,2494,65669,2.35,463146.0,2,2,0
179522,1,0,0,2,535,50891,3.53,489026.0,1,2,0
47401,8,0,0,4,1680,27388,1.73,130591.0,1,0,0
19115,22,1,0,4,936,24622,0.78,194608.0,2,3,0
198708,4,0,0,3,2822,22177,8.96,462699.0,3,2,0
